BitRuns,Grade
University20-2003H.R3,1-1-NO-A-X-X-NO-TD
University20-2004H.R3,1-1-CT-G-X-IN-NO-TD
University19-2504H.R2,1-1-NO-A-X-I-NO-TD
Roan53-2-2005H.R2,1-1-WT-S-X-I-NO-TD
Roan53-2-2006H.R2,3-6-CT-A-X-I-BT-DMF
Roan53-2-2006H.R3,1-1-NO-A-X-I-NO-BHA
ODELL-54-1-6-2H.R2,1-1-NO-A-X-X-NO-TD
University19-U2-2506.R2,1-1-NO-A-X-I-NO-BHA
Roan53-2LOV1902H.R1,1-1-NO-N-X-INO-PR
Roan53-2LOV1902H.R2,2-1-BT-N-X-I-N-BHA
ALLEN-55-2-44-E1H.R1,2-4-BT-S-X-IN-CT-TD
Roan53-2LOV1901H.R2,1-3-CT-S-X-0-NO-TD
Bernard-C-27-2-1H.R1,2-2-CT-A-X-1/16-WT-TD
Roan53-2-2002H.R2,3-8-BT-A-X-I-CT-BHA
University20-2003H.R1,2-4-BT-G-X-X-CT-PR
University19-U2-2505.R2,1-1-NO-A-X-I-NO-BHA
ODELL-54-1-6-2H.R1,3-3-WT-A-X-1/8-CT-PR
Roan53-2-2006H.R1,3-6-CT-S-X-I-CT-PR
Roan53-2-2005H.R1,4-7-LT-S-X-I-BT-PR
University19-2503H.R1,1-2-CT-S-X-I-WT-BHA
University20-2004H.R1,1-3-CT-S-X-IN-WT-PR
University20-1503H.R3,2-4-CT-S-X-I-BT-DMF
University19A2304H.R2,2-2-CT-G-X-X-NO-TD
University19-2504H.R1,3-2-CT-C-X-I-WT-BHA
Roan53-2-2007H.R1,3-8-LT-S-X-1/2-BT-PR
University19-U2-2506.R1,2-2-WT-A-X-I-NO-PR
University19-U2-2505.R1,1-1-CT-A-1-I-NO-PR
ODELL-54-1-6-2H.R2,3-6-RO-S-X-3/16-CT-PR
Roan53-2-2002H.R1,3-2-CT-N-X-I-WT-PR
Roan53-2LOV1901H.R1,8-6-CR-N-X-0-BT-PR
University20-2003H.R2,6-3-BT-N-X-X-CT-PR
University20-1503H.R2,1-8-RO-T-X-I-LT-PR
University20-1503H.R1,4-1-CR-C-X-I-WT-PR
University20-2004H.R2,3-7-BT-S-X-IN-CT-PR
University19A2304H.R1,2-5-BT-T-X-X-CT-PR
Roan53-2-2004H.R1,2-5-BT-T-X-I-CT-PR
University19A2303H.R1,7-3-CR-C-X-IN-WT-PR
University19A2303H.R2,4-7-BT-T-E-1/16-CT-PR
CONN-53-2-36-1H.R1,8-4-RO-C-X-1-BT-PR
